"Isotope"	"Halflife"	"Abundance"
"92Kr"	5.83460172501268e-08	NA
"93Kr"	4.07787924911213e-08	NA
"94Kr"	6.34195839675292e-09	NA
"95Kr"	2.47336377473364e-08	NA
"75Rb"	6.02486047691527e-07	NA
"76Rb"	1.15740740740741e-06	NA
"77Rb"	7.17275494672755e-06	NA
"78Rb"	3.3599695585997e-05	NA
"78m1Rb"	1.09208523592085e-05	NA
"79Rb"	4.35692541856925e-05	NA
"80Rb"	1.078132927448e-06	NA
"81Rb"	0.000522374429223744	NA
"81m1Rb"	5.80289193302892e-05	NA
"82Rb"	2.42199391171994e-06	NA
"82m1Rb"	0.000738812785388128	NA
"83Rb"	0.236164383561644	NA
"84Rb"	0.0897808219178082	NA
"84m1Rb"	3.85464231354642e-05	NA
"86Rb"	0.0510438356164384	NA
"86m1Rb"	1.93493150684931e-06	NA
"87Rb"	4.75e+10	27.835
"88Rb"	3.38280060882801e-05	NA
"89Rb"	2.8824200913242e-05	NA
"90Rb"	5.0101471334348e-06	NA
"90m1Rb"	8.18112633181126e-06	NA
"91Rb"	1.85185185185185e-06	NA
"92Rb"	1.42440385591071e-07	NA
"93Rb"	1.85185185185185e-07	NA
"94Rb"	8.56798579401319e-08	NA
"96Rb"	6.31024860476915e-09	NA
"76Sr"	2.82217148655505e-07	NA
"77Sr"	2.85388127853881e-07	NA
"78Sr"	4.75646879756469e-06	NA
"79Sr"	4.28082191780822e-06	NA
"80Sr"	0.000202245053272451	NA
"81Sr"	4.2427701674277e-05	NA
"82Sr"	0.07	NA
"83Sr"	0.00369977168949772	NA
"83m1Sr"	1.56963470319635e-07	NA
"85Sr"	0.177643835616438	NA
"85m1Sr"	0.00012867199391172	NA
"87m1Sr"	0.000319977168949772	NA
"89Sr"	0.138438356164384	NA
"90Sr"	28.79	NA
"91Sr"	0.00109931506849315	NA
"92Sr"	0.000309360730593607	NA
"93Sr"	1.41229071537291e-05	NA
"94Sr"	2.38774733637747e-06	NA
"95Sr"	7.57864028411974e-07	NA
"96Sr"	3.39294774226281e-08	NA
"98Sr"	2.07064941653983e-08	NA
"99Sr"	8.52993404363267e-09	NA
"79Y"	4.69304921359716e-07	NA
"80Y"	1.10984271943176e-06	NA
"81Y"	2.23236935565703e-06	NA
"82Y"	3.01243023845764e-07	NA
"83Y"	1.34703196347032e-05	NA
"83m1Y"	5.42237442922374e-06	NA
"84Y"	1.45865043125317e-07	NA
"84m1Y"	7.51522070015221e-05	NA
"85Y"	0.000305936073059361	NA
"85m1Y"	0.000554794520547945	NA
"86Y"	0.00168264840182648	NA
"86m1Y"	9.1324200913242e-05	NA
"87Y"	0.00910958904109589	NA
"87m1Y"	0.00152625570776256	NA
"88Y"	0.292191780821918	NA
"89m1Y"	5.09259259259259e-07	NA
"90Y"	0.00730593607305936	NA
"90m1Y"	0.000364155251141552	NA
"91Y"	0.160301369863014	NA
"91m1Y"	9.45776255707763e-05	NA
"92Y"	0.000404109589041096	NA
"93Y"	0.001162100456621	NA
"93m1Y"	2.6002029426687e-08	NA
"94Y"	3.55783866057839e-05	NA
"95Y"	1.95966514459665e-05	NA
"96Y"	1.69330289193303e-07	NA
"96m1Y"	3.0441400304414e-07	NA
"97Y"	1.18911719939117e-07	NA
"97m1Y"	3.71004566210046e-08	NA
"98Y"	1.7376966007103e-08	NA
"98m1Y"	6.34195839675292e-08	NA
"99Y"	4.66133942161339e-08	NA
"100m1Y"	2.98072044647387e-08	NA
